Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.111,637.707,512.366,148.662,76.3184,24.6091,1.0076,46.7274,107.458,112.066,113.995,10.08,157.135,6.09234,4.73873,0.514681,9.87741,8.80856,2.5642,0.290149,0.178758,0.246406,0.725461,0.421773,0.615711,0.432472,1.03748,0.325561,3.69443,0.32542,-0.960138,-0.518437,137.179,61.8289,181.793,-1.47858,0.799411,60.16992723941803,-6.210775852203369,7.72888,1.909999966621399,4.25517,0.789529,1.48916,4.25517,-0.789529,3.01445,1211.1,8.352413793,1211.1,8.352413793,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",151.414,660.092,598.725,174.122,102.665,36.7582,6.25374,28.4459,100.084,91.9873,48.1371,5.74383,113.034,6.54702,5.99376,0.689375,6.16264,33.9064,9.28593,0.290822,0.0729249,0.171239,0.425865,0.34699,0.515638,0.364896,0.862629,0.224817,7.00187,0.314474,1.31103,1.97769,105.778,27.7832,135.372,3.28872,4.9772,30.885197639465332,11.987128734588623,6.67207,3.0199999809265137,3.36756,0.221472,0.667568,3.36756,-0.221472,4.10991,984.5,6.519867549,984.5,6.519867549,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Shohei Ohtani","LAD",148.484,660.136,559.161,158.451,79.4203,27.4335,5.11491,46.4823,121.924,109.234,91.8129,10.0296,159.39,4.52346,3.69458,0.944521,7.37046,24.2127,7.02378,0.283373,0.139082,0.241451,0.576025,0.386515,0.600116,0.41138,0.986631,0.316743,6.49715,0.313653,0.373913,0.87211,130.699,52.6992,167.304,1.24602,0,53.758509039878845,-14.016914367675781,6.35191,1.2200000286102295,3.55908,-0.743484,0.973245,3.55908,0.743484,3.70234,1182,7.986486486,1182,7.986486486,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",154.765,678.279,544.372,148.801,84.3686,24.7786,1.00509,38.6487,108.923,99.3164,124.718,8.89009,121.658,3.65186,4.24829,1.28926,12.6005,21.3784,5.40928,0.273344,0.183873,0.179363,1.02515,0.409416,0.535545,0.401938,0.944961,0.262201,4.5924,0.283668,-0.889361,0.714745,129.092,48.9479,160.818,-0.174615,-6.57376,48.581419587135315,-13.93376350402832,5.89356,4.619999885559082,1.08357,-0.439075,0.730608,1.08357,0.439075,4.02586,1148.1,7.407096774,1148.1,7.407096774,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Gunnar Henderson","BAL",152.564,659.146,581.144,156.75,93.4429,32.8573,4.19526,26.2545,96.8633,82.5164,67.1871,3.52133,139.94,5.88542,4.34777,0.581745,9.24292,23.9926,5.05617,0.269727,0.101931,0.212305,0.480113,0.348975,0.476235,0.354179,0.82521,0.206509,6.08999,0.311224,0.796716,1.65189,99.8913,22.0081,129.969,2.44861,-0.400112,25.730867862701416,6.663038939237595,5.63544,12.180000305175781,2.13346,1.08252,0.44361,2.13346,-1.08252,4.40852,911.7,5.958823529,911.7,5.958823529,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",151.546,659.331,599.336,162.396,101.817,27.9821,2.98538,29.6119,93.2996,91.0654,47.2423,3.92569,145.473,8.87417,3.39812,0.479467,10.5254,27.9538,6.51775,0.27096,0.0716519,0.220637,0.324751,0.331657,0.475835,0.345534,0.807492,0.204874,6.00938,0.310498,-0.157787,1.90493,95.2916,17.3866,129.101,1.74714,4.61271,24.361470699310303,6.760478973388672,5.50595,9.630000114440918,2.82465,-1.05537,0.267384,2.82465,1.05537,4.64349,890.1,5.855921052,890.1,5.855921052,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Cal Raleigh","SEA",149.964,623.634,538.154,123.333,61.0122,22.3682,0.297108,39.655,84.9552,101.125,75.4018,8.63904,168.273,5.67829,3.89113,0.508311,5.71704,7.93712,2.29286,0.229177,0.120907,0.269826,0.448093,0.328044,0.492907,0.347236,0.820951,0.26373,3.29043,0.250444,-1.36498,-0.232556,90.994,17.3068,130.273,-1.59753,3.26187,20.65396296977997,10.015717029571533,5.33397,18.010000228881836,2.98454,0.733694,1.76989,2.98454,-0.733694,2.64014,843.2,5.621333333,843.2,5.621333333,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"José Ramírez","CLE",150.798,649.666,575.525,157.123,93.1497,33.222,2.89253,27.8588,92.4352,88.8363,63.8691,10.08,74.2998,4.47654,5.55362,0.241221,6.74263,33.4533,8.0449,0.273008,0.0983108,0.114366,0.859613,0.347182,0.486003,0.352795,0.833185,0.212994,6.03993,0.269908,-0.306458,2.39654,97.7246,20.9616,128.756,2.09009,0.480093,24.108576774597168,1.0798670053482056,4.86485,5.730000019073486,2.25758,-0.111585,0.559148,2.25758,0.111585,4.25447,923.5,6.115894039,923.5,6.115894039,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Ketel Marte","ARI",140.022,612.149,532.692,146.703,86.4799,29.4383,2.4274,28.3578,88.1066,86.1123,67.2014,5.12243,99.4332,6.75838,4.90913,0.588251,11.4331,5.24323,1.63192,0.2754,0.109779,0.162433,0.675845,0.36082,0.499482,0.367054,0.860301,0.224081,4.10512,0.288782,-0.00273048,-0.645008,99.1677,26.8376,136.044,-0.647739,0.150694,25.503340661525726,0.22192976623773575,4.71575,32.29999923706055,3.23885,0.459358,0.888006,3.23885,-0.459358,3.81599,874.8,6.248571428,874.8,6.248571428,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Fernando Tatis Jr.","SDP",148.445,645.902,565.4,152.428,93.5019,28.1294,2.44306,28.3537,97.6676,80.8443,70.7143,3.45311,127.96,6.09399,3.02374,0.669696,10.5158,25.6527,6.01649,0.269593,0.109481,0.198111,0.552627,0.355277,0.478431,0.358804,0.833708,0.208837,5.85091,0.301071,0.209295,1.56516,100.31,23.9914,131.188,1.77445,5.6089,25.58320450782776,-1.4544577598571777,4.70524,14.199999809265137,2.53854,-0.624956,0.467971,2.53854,0.624956,4.37604,905.6,6.118918918,905.6,6.118918918,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
