Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14,7,22,2.66801,32,32,0,0,,200,790,156,65,59,19,40,,7,245,10.9973,1.81245,6.06768,0.84838,0.310015,0.0510928,0.2589217722415924,0.210246,0.980556,0.286594,0.775389,,,2.62322,6.33616,6.18169,6.800000190734863,,,,,,,1189.6999999999998,5.948499999999999,1102,5.51,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",15,8,21,2.90048,32,32,0,0,,197,796,162,69,64,20,52,,5,245,11.1845,2.3614,4.7364,0.894352,0.307722,0.0649696,0.24275226891040802,0.218893,1.08316,0.299639,0.774851,,,2.80782,5.79882,5.89967,11.829999923706055,,,,,,,1109.6000000000001,5.632487309644671,1044,5.299492385786802,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Paul Skenes","PIT",13,8,21,2.84096,32,32,0,0,,189,761,152,65,60,17,49,,6,223,10.6206,2.35198,4.51559,0.808429,0.293284,0.0649491,0.2283344566822052,0.216048,1.06713,0.291065,0.769061,,,2.82446,5.41285,5.83945,10.210000038146973,,,,,,,1075.3000000000002,5.689417989417991,1005,5.317460317460317,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",12,8,20,3.21422,32,32,0,0,,200,820,183,78,71,18,49,,7,193,8.68903,2.2094,3.93275,0.802798,0.235315,0.0598347,0.1754799410700798,0.23942,1.16094,0.298396,0.74301,,,3.20133,4.78553,5.15763,25.6299991607666,,,,,,,1000.8,5.004,984,4.92,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",14,9,20,3.18481,32,32,0,0,,202,836,191,79,72,16,45,,6,191,8.49758,2.00805,4.23177,0.711908,0.228467,0.0539885,0.17447824403643608,0.243452,1.16817,0.302927,0.736278,,,3.02738,4.5336,4.54127,59.709999084472656,,,,,,,1030.4,5.100990099009901,1031,5.103960396039604,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cole Ragans","KCR",11,8,17,3.40374,29,29,0,0,,163,674,132,67,62,17,58,,5,202,11.1479,3.19611,3.48796,0.955779,0.299203,0.0857818,0.21342138200998306,0.215554,1.16462,0.291756,0.741928,,,3.19165,4.06345,3.7084,46.630001068115234,,,,,,,868.9000000000001,5.330674846625768,809,4.96319018404908,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Chris Sale","ATL",12,6,18,3.14754,28,28,0,0,,165,676,138,62,58,18,44,,10,200,10.9041,2.40858,4.52718,0.95341,0.29623,0.0654337,0.23079674690961838,0.221807,1.10269,0.297929,0.760092,,,3.06446,3.98853,4.38289,38.849998474121094,,,,,,,878.8,5.326060606060606,829,5.024242424242424,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Max Fried","NYY",14,9,19,3.32434,31,31,0,0,,189,779,169,76,70,17,54,,7,176,8.37275,2.57823,3.24747,0.812211,0.225242,0.069359,0.15588261932134628,0.234681,1.17982,0.288253,0.73671,,,3.41851,3.90623,3.96213,50.650001525878906,,,,,,,919.1000000000003,4.862962962962964,893,4.724867724867725,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Hunter Brown","HOU",13,8,19,3.34467,31,31,0,0,,183,759,157,74,68,19,60,,7,197,9.67018,2.96264,3.26404,0.939784,0.259233,0.079421,0.17981228977441788,0.227425,1.18844,0.290398,0.751715,,,3.44335,3.77624,3.97855,36.880001068115234,,,,,,,905.3,4.946994535519125,861,4.704918032786885,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Sonny Gray","BOS",12,10,17,3.71573,31,31,0,0,,178,746,169,80,74,21,47,,5,186,9.38232,2.38644,3.93151,1.0792,0.249291,0.0634085,0.18588262051343918,0.244156,1.21444,0.304288,0.733293,,,3.4904,3.7126,3.37465,134.85000610351562,,,,,,,835.5000000000001,4.693820224719102,833,4.679775280898877,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Jacob deGrom","TEX",11,8,17,3.50286,29,29,0,0,,169,679,143,71,66,23,40,,4,188,10.0266,2.1115,4.74858,1.22894,0.276551,0.0582386,0.21831201016902924,0.224974,1.08306,0.282421,0.741812,,,3.45348,3.67711,3.30798,48.869998931884766,,,,,,,839.9000000000003,4.969822485207103,790,4.674556213017752,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Dylan Cease","TOR",12,9,18,3.57182,31,31,0,0,,173,727,144,74,69,20,65,,5,203,10.5315,3.38946,3.10714,1.05402,0.279228,0.0898663,0.18936122953891754,0.220085,1.20985,0.286598,0.747311,,,3.53148,3.66096,3.17456,74.66000366210938,,,,,,,855.8000000000001,4.946820809248555,801,4.630057803468208,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Framber Valdez","DET",13,10,19,3.41034,31,31,0,0,,195,813,177,81,74,17,65,,8,180,8.3292,2.98378,2.79149,0.778979,0.221846,0.0794721,0.14237388223409653,0.239181,1.23961,0.295025,0.738296,,,3.53456,3.6385,3.97002,84.91000366210938,,,,,,,914.7,4.690769230769231,895,4.589743589743589,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Yoshinobu Yamamoto","LAD",12,7,16,3.37775,26,26,0,0,,155,627,129,63,58,17,43,,5,165,9.53875,2.51941,3.7861,0.968098,0.262618,0.0693638,0.19325461238622665,0.223406,1.11193,0.283343,0.731477,,,3.34857,3.63133,3.56905,26.959999084472656,,,,,,,788.5000000000001,5.087096774193549,740,4.774193548387097,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Bryan Woo","SEA",13,10,19,3.46481,32,32,0,0,,195,788,169,81,75,25,43,,9,197,9.09444,1.96283,4.63333,1.15706,0.25041,0.0540453,0.19636469706892967,0.228586,1.08062,0.278623,0.737297,,,3.57157,3.54602,3.31022,35.29999923706055,,,,,,,934.1,4.7902564102564105,888,4.553846153846154,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Zack Wheeler","PHI",11,7,16,3.31475,26,26,0,0,,157,638,133,63,58,18,41,,7,171,9.81175,2.36209,4.15384,1.00714,0.268121,0.0645478,0.2035733461380005,0.224849,1.10746,0.286815,0.744484,,,3.33336,3.54229,3.84857,114.36000061035156,,,,,,,792.5999999999999,5.0484076433121015,749,4.770700636942675,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Jesús Luzardo","PHI",12,10,17,3.77599,31,31,0,0,,179,742,157,81,75,23,56,,5,197,9.94087,2.80404,3.5452,1.16939,0.26591,0.0750056,0.1909041330218315,0.230992,1.19263,0.29116,0.730078,,,3.63377,3.53217,3.38976,73.44000244140625,,,,,,,844.5000000000002,4.717877094972068,807,4.5083798882681565,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Ranger Suarez","BOS",12,9,17,3.61464,29,29,0,0,,169,713,166,74,68,17,49,,5,149,7.9407,2.60114,3.05278,0.886565,0.20914,0.068508,0.14063172787427902,0.251233,1.26888,0.301895,0.735041,,,3.60663,3.37208,3.41206,181.10000610351562,,,,,,,745.9000000000002,4.413609467455623,760,4.497041420118343,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"George Kirby","SEA",12,9,18,3.52177,31,31,0,0,,173,711,160,74,68,21,32,,7,170,8.83443,1.67735,5.26689,1.07605,0.239417,0.0454569,0.19395961612462997,0.238879,1.11154,0.290645,0.726761,,,3.40728,3.26846,2.68705,65.95999908447266,,,,,,,828.9000000000001,4.791329479768787,815,4.710982658959537,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Joe Ryan","MIN",11,10,16,3.79136,29,29,0,0,,167,685,147,76,70,24,40,,9,183,9.83015,2.13676,4.60049,1.31384,0.266836,0.0580017,0.2088347263634205,0.231325,1.11724,0.286077,0.72932,,,3.71812,3.1434,2.7826,79.79000091552734,,,,,,,777.3999999999999,4.65508982035928,742,4.4431137724550895,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Shane McClanahan","TBR",9,7,14,3.3345,24,24,0,0,,139,565,119,56,51,16,39,,3,150,9.73382,2.5384,3.83463,1.04085,0.265427,0.0692183,0.19620824605226517,0.22818,1.1421,0.289424,0.75594,,,3.39201,3.12986,3.08784,201.8699951171875,,,,,,,696.4000000000002,5.010071942446045,661,4.755395683453237,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Aaron Nola","PHI",11,10,16,4.116,31,31,0,0,,180,752,172,89,82,26,45,,5,177,8.86346,2.25883,3.92392,1.3038,0.235783,0.0600887,0.17569466680288315,0.246066,1.20949,0.294198,0.711876,,,3.89333,3.10924,2.62677,212.11000061035156,,,,,,,769,4.272222222222222,766,4.2555555555555555,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Logan Gilbert","SEA",10,7,17,3.41056,29,29,0,0,,163,661,139,67,62,21,39,,5,178,9.82619,2.14178,4.58785,1.15354,0.269659,0.0587768,0.2108822837471962,0.224663,1.08664,0.281714,0.745609,,,3.43169,3.05457,2.85073,35.400001525878906,,,,,,,810.5000000000001,4.97239263803681,766,4.699386503067485,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
