Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",144.996,637.347,517.614,148.824,75.2814,24.1331,0.753332,48.6561,104.873,117.733,108.346,18.2097,158.966,5.97918,4.28277,0.51613,9.03246,8.03968,2.87631,0.287519,0.169995,0.249418,0.681569,0.413612,0.619056,0.426552,1.03267,0.331537,3.48951,0.318727,,-0.70147,134.038,58.7305,179.508,-0.70147,-2.34,59.02359312772751,-9.344637632369995,7.32715,1.909999966621399,,,,,,,1201.1,8.283448275,1201.1,8.283448275,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Cal Raleigh","SEA",149.952,623.665,538.694,126.29,59.1415,23.0082,0.479728,43.6603,87.5315,110.992,73.566,6.88476,170.617,6.20576,4.39833,0.506308,6.43188,7.76472,2.29567,0.234437,0.117958,0.273572,0.431175,0.330829,0.522075,0.35926,0.852904,0.287638,3.50256,0.251295,,-0.258781,97.0869,23.3961,138.556,-0.258781,14.95,28.08218404650688,21.703317642211914,7.28987,18.010000228881836,,,,,,,896.5,5.976666666,896.5,5.976666666,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",149.107,662.837,562.267,159.876,80.6607,26.5666,5.61404,47.0348,122.549,116.361,90.0043,13.5094,156.435,4.78495,3.6496,0.744645,8.53992,23.3367,10.6602,0.284342,0.135786,0.236008,0.575346,0.385444,0.602517,0.410247,0.987961,0.318175,6.23898,0.311332,,-0.767291,130.624,52.3046,167.126,-0.767291,0,51.96713745594025,-14.075693130493164,6.13304,1.2200000286102295,,,,,,,1186.2,7.961073825,1186.2,7.961073825,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",154.655,677.748,546.819,145.85,83.0591,24.817,0.636232,37.3381,106.829,97.0752,121.824,8.88664,120.757,4.1548,3.86416,1.08581,13.8189,17.3499,5.70641,0.266725,0.179749,0.178175,1.00884,0.401721,0.519284,0.393153,0.921005,0.252559,4.05754,0.276403,,-0.188235,124.156,44.0753,158.209,-0.188235,-2.99,46.569146171212196,-10.34478211402893,6.01323,4.619999885559082,,,,,,,1090.1,7.032903225,1090.1,7.032903225,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Bobby Witt Jr.","KCR",151.337,659.888,599.198,170.68,101.273,36.2206,6.08098,27.1058,100.219,90.9905,47.69,5.00029,113.716,6.40007,5.73914,0.860454,6.88928,34.9171,9.94819,0.284848,0.0722699,0.172327,0.419378,0.341064,0.501304,0.357342,0.842367,0.216456,7.10939,0.309351,,1.91683,101.698,23.7275,127.687,1.91683,3.65,23.450276851654053,10.65634298324585,5.81328,3.0199999809265137,,,,,,,951.5,6.301324503,951.5,6.301324503,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Julio Rodríguez","SEA",151.447,658.92,597.462,165.306,103.629,28.1539,3.8565,29.6659,96.0736,90.5401,47.826,3.63808,147.766,9.22694,3.8521,0.553187,11.1842,25.2197,7.13943,0.27668,0.0725823,0.224254,0.323661,0.337743,0.485671,0.351995,0.823414,0.208992,6.09822,0.319994,,1.08346,98.6884,20.832,133.551,1.08346,0.52,27.139847993850708,2.6663577556610107,5.36989,9.630000114440918,,,,,,,911.9,6.039072847,911.9,6.039072847,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",152.604,659.23,582.612,156.75,92.6665,33.1572,3.84902,27.0776,96.687,82.8374,65.0282,3.18401,141.873,5.70316,5.3545,0.532141,11.9891,20.3252,5.22137,0.269047,0.0986426,0.21521,0.458355,0.34535,0.4786,0.353051,0.823951,0.209553,5.85038,0.30947,,0.869122,99.3003,21.4072,129.192,0.869122,-1.33,23.550629258155823,5.735000014305115,5.31772,12.180000305175781,,,,,,,905.5,5.918300653,905.5,5.918300653,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"José Ramírez","CLE",150.737,649.396,576.858,159.787,93.8561,33.4813,3.14058,29.309,94.2425,89.8499,61.251,14.9384,74.0962,4.48315,5.89929,0.71063,7.0547,32.7787,10.4871,0.276995,0.09432,0.1141,0.826642,0.347763,0.498349,0.354647,0.846111,0.221353,5.92086,0.272196,,1.30616,98.6605,21.9294,130.032,1.30616,0.6,24.29202091693878,1.1995329856872559,4.89491,5.730000019073486,,,,,,,934.1,6.186092715,934.1,6.186092715,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Corey Seager","TEX",123.629,528.903,456.46,125.994,74.3656,23.643,0.774385,27.211,70.4517,82.8082,59.1039,8.46895,97.6268,4.63157,4.30346,0.487609,10.3522,1.81909,0.712345,0.276024,0.111748,0.184584,0.605406,0.361735,0.510054,0.368671,0.871789,0.234029,2.64326,0.294062,,-0.783688,86.3766,23.8826,139.913,-0.783688,-0.09,24.097062349319458,3.9848009645938873,4.73562,96.56999969482422,,,,,,,771.7,6.223387096,771.7,6.223387096,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Francisco Lindor","NYM",139.946,617.509,544.457,141.262,86.2761,26.6967,1.58432,26.7045,86.5747,78.8999,52.6096,1.05906,115.225,9.4794,4.48747,0.681813,9.24676,21.9151,6.14603,0.259454,0.0851966,0.186597,0.456581,0.332798,0.461452,0.342579,0.794249,0.201997,5.51368,0.281457,,0.893654,87.7653,14.8018,123.564,0.893654,1.02,18.139227032661438,7.019056797027588,4.67598,26.979999542236328,,,,,,,800.1,5.715,800.1,5.715,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
