Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",14.0511,7.95538,14.1638,2.80983,29.795,29.795,0,0,,184.175,734.171,141.764,61.4,57.5,15.0919,45.4997,0.452075,6.51149,215.846,10.5476,2.22341,4.7439,0.737487,0.294,0.0619743,0.23202534019947052,0.207817,1.01677,0.280732,0.757599,,,2.70368,6.03038,5.71467,10.210000038146973,,,,,,,1083.9,5.890760869565218,1001,5.440217391304348,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",14.5568,7.65269,15.085,2.81003,29.369,29.369,0,0,,188.133,740.53,142.374,63.15,58.74,19.5238,38.6824,0.492101,6.04169,227.166,10.8673,1.85051,5.87259,0.933991,0.306761,0.0522361,0.254525113850832,0.204618,0.962388,0.273539,0.767006,,,2.78246,5.997,5.77452,6.800000190734863,,,,,,,1095,5.824468085106383,999,5.3138297872340425,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",13.3149,8.05777,14.2871,3.14999,28.873,28.873,0,0,,180.429,724.723,144.801,67.8,63.15,20.2513,44.4365,0.520702,5.13581,218.616,10.9048,2.21654,4.91975,1.01016,0.301655,0.0613152,0.24034007638692856,0.214472,1.04882,0.285479,0.754806,,,2.9952,5.12794,4.60879,11.829999923706055,,,,,,,1000,5.555555555555555,931,5.1722222222222225,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13.5284,8.93537,15.9624,3.36008,29.881,29.881,0,0,,192.772,792.149,179.838,77.32,71.97,15.3894,45.5661,0.839362,6.1267,184.18,8.59885,2.12736,4.04203,0.718487,0.232506,0.0575221,0.1749841868877411,0.242874,1.16928,0.304034,0.726404,,,3.06656,5.01195,4.47817,59.709999084472656,,,,,,,987.7,5.117616580310881,982,5.0880829015544045,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cristopher Sánchez","PHI",13.6963,8.01666,15.0999,3.29016,28.979,28.979,0,0,,184.997,755.979,166.49,73.09,67.63,15.94,45.6675,0.474193,5.611,180.662,8.78909,2.2217,3.95603,0.77547,0.238977,0.0604084,0.17856864258646965,0.236257,1.14682,0.296301,0.732545,,,3.13369,4.62249,4.38353,25.6299991607666,,,,,,,946.6,5.1167567567567565,923,4.989189189189189,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Bryan Woo","SEA",13.4033,8.2527,14.6051,3.30006,29.303,29.303,0,0,,183.133,730.073,149.855,71.78,67.15,23.5397,34.6705,0.490351,6.69072,185.745,9.12836,1.70387,5.35742,1.15685,0.254419,0.0474891,0.2069302462041378,0.217587,1.0076,0.263471,0.743852,,,3.45518,4.41749,4.35888,35.29999923706055,,,,,,,915,5,849,4.639344262295082,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Logan Gilbert","SEA",11.7524,8.09652,12.2631,3.41006,27.887,27.887,0,0,,164.267,659.533,133.233,66.61,62.24,21.4277,37.7168,0.514907,5.14933,192.646,10.5549,2.06646,5.10771,1.174,0.292095,0.0571871,0.23490790650248528,0.216054,1.04068,0.277714,0.740257,,,3.26825,4.16048,3.62085,35.400001525878906,,,,,,,866.5000000000002,5.283536585365855,804,4.902439024390244,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Chris Sale","ATL",10.7413,7.77821,12.3542,3.61972,25.486,25.486,0,0,,156.12,643.989,132.285,67.31,62.79,17.6651,43.9872,0.412269,8.24771,192.085,11.0733,2.53577,4.36684,1.01836,0.298274,0.0683042,0.2299695536494255,0.223546,1.12908,0.300047,0.719027,,,3.14911,4.05945,3.08612,38.849998474121094,,,,,,,817.8,5.242307692307692,774,4.961538461538462,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Cole Ragans","KCR",10.7703,7.80622,11.3741,3.36019,26.132,26.132,0,0,,153.42,631.047,119.985,61.17,57.28,16.874,54.563,0.505959,4.9104,192.456,11.2899,3.2008,3.52721,0.989874,0.304978,0.0864643,0.21851378679275513,0.209921,1.13772,0.284646,0.751225,,,3.21904,4.01775,3.54702,46.630001068115234,,,,,,,815.1000000000001,5.3274509803921575,748,4.888888888888889,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Yoshinobu Yamamoto","LAD",13.0356,6.17691,12.332,3.26974,26.408,26.408,0,0,,160.279,654.379,131.809,62.33,58.23,15.2498,48.7531,0.386449,5.22082,174.778,9.81416,2.73759,3.58497,0.856305,0.26709,0.0745028,0.19258728623390198,0.219533,1.12655,0.284029,0.742605,,,3.20135,4.01135,3.91685,26.959999084472656,,,,,,,844.3,5.2768749999999995,793,4.95625,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Jesús Luzardo","PHI",11.9744,8.96503,13.5821,3.73985,29.234,29.234,0,0,,175.146,727.797,152.505,78.47,72.78,21.251,55.1786,0.492804,5.41315,195.93,10.068,2.83539,3.55084,1.092,0.26921,0.0758159,0.19339413195848465,0.228572,1.18577,0.291659,0.726195,,,3.51298,3.92798,3.15179,73.44000244140625,,,,,,,850.9000000000001,4.862285714285715,814,4.651428571428571,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Hunter Brown","HOU",12.1269,9.0755,13.9851,3.56993,29.257,29.257,0,0,,178.264,737.26,149.145,75.26,70.71,19.246,60.3643,0.543238,7.03915,192.888,9.73831,3.04761,3.1954,0.971673,0.261628,0.0818765,0.17975139617919922,0.222652,1.17527,0.283793,0.735351,,,3.50892,3.92137,3.68002,36.880001068115234,,,,,,,881.1,4.95,828,4.651685393258427,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Max Fried","NYY",13.4574,7.75269,14.3623,3.28981,28.608,28.608,0,0,,179.436,737.629,150.625,70.43,65.59,16.7061,56.8407,0.470531,6.83401,168.28,8.44043,2.85097,2.96055,0.83793,0.228136,0.0770587,0.1510772705078125,0.223494,1.15621,0.27388,0.744447,,,3.53441,3.81624,4.30958,50.650001525878906,,,,,,,866.9000000000002,4.843016759776537,818,4.569832402234637,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
