Name,IDfg,Age,Team,xwOBA,xSLG,xBA,Barrel%,HardHit%,K%,BB%,BABIP,SwStr%,wRC+,HR/FB,GB%,FB%,Pull%,Spd,HR,RBI,R,SB,AVG,OBP,SLG,wOBA,proj_PA,xwOBA_rank
Aaron Judge,15640,34,NYY,0.4675,0.7224,0.3001,0.2585,0.6006,0.2452,0.1845,0.3614,0.1328,205.3716,0.3086,0.3264,0.466,0.3942,4.0892,45.727,119.793,124.727,7.135,0.319,0.449,0.683,0.461,648,1.0
Juan Soto,20123,27,NYM,0.434,0.605,0.2918,0.1736,0.5521,0.1803,0.1817,0.2817,0.0694,162.4803,0.2453,0.4562,0.3664,0.422,4.7312,40.122,104.52,116.831,21.611,0.271,0.406,0.533,0.399,710,2.0
Shohei Ohtani,19755,31,LAD,0.4292,0.6513,0.2874,0.218,0.5758,0.2427,0.136,0.3258,0.1354,173.9806,0.2877,0.3885,0.4184,0.4309,7.197,47.716,109.131,132.574,25.154,0.293,0.392,0.628,0.422,702,3.0
Yordan Alvarez,19556,29,HOU,0.4181,0.6059,0.2961,0.1564,0.5182,0.1646,0.1255,0.3097,0.0903,157.6916,0.1638,0.3419,0.4602,0.3836,2.737,26.417,75.526,69.591,2.737,0.296,0.391,0.542,0.392,401,4.0
Ronald Acuna Jr.,18401,28,ATL,0.4073,0.5568,0.2896,0.1438,0.5246,0.2043,0.1393,0.3448,0.1084,152.1089,0.2065,0.4846,0.3397,0.3951,6.1059,23.602,58.155,91.331,28.827,0.297,0.402,0.51,0.393,420,5.0
Jahmai Jones,18872,28,DET,0.399,0.547,0.291,0.134,0.536,0.213,0.12,0.333,0.103,159.0,0.167,0.313,0.438,0.474,5.2,6.86,23.0,21.0,1.84,0.287,0.387,0.55,0.399,150,6.0
Corey Seager,13624,32,TEX,0.3972,0.5764,0.2863,0.1488,0.5198,0.1817,0.1095,0.2998,0.1227,144.2402,0.1952,0.4222,0.3874,0.4045,2.421,24.328,68.81,70.647,1.659,0.282,0.366,0.518,0.373,500,7.0
Vladimir Guerrero Jr.,19611,27,TOR,0.3901,0.5267,0.3027,0.1239,0.5164,0.1411,0.1083,0.3139,0.0933,141.2515,0.1551,0.4726,0.3307,0.3715,2.6156,26.159,92.209,93.08,4.562,0.295,0.377,0.487,0.37,687,8.0
Kyle Schwarber,16478,33,PHI,0.3877,0.5476,0.244,0.1849,0.5603,0.282,0.1537,0.2582,0.1213,139.4922,0.2667,0.3628,0.4618,0.5333,3.4775,42.84,116.87,109.568,4.882,0.233,0.359,0.521,0.375,711,9.0
Ben Rice,29576,27,NYY,0.3846,0.5407,0.2742,0.1543,0.5249,0.2031,0.0971,0.2563,0.0885,122.7641,0.1667,0.3894,0.4169,0.4673,3.9183,22.704,57.713,64.632,2.38,0.24,0.324,0.473,0.343,395,10.0
